Year,Minister,Speech,,,,,
2004-05,P. Chidambaram,PART A,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"Mr. Speaker, Sir.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,I. INTRODUCTION,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,1. I rise to present the budget for the year 2004-05.,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"2. Every five years, or sometimes sooner, the people of India speak in their collective voice. The message is usually unambiguous and clear. Elections 2004 were no different. The people’s vote against one coalition – and the vote in favour of another coalition – was a vote for change. As the Prime Minister, Dr. Manmohan Singh, said in his address to the Nation two weeks ago, the people have sought ""a change in the manner in which this country is run, a change in national priorities, and a change in the processes and focus of governance."" I shall make every effort to be true to that mandate.",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,II. NATIONAL COMMON MINIMUM PROGRAMME:,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,THE GUIDING LIGHT,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"3. The United Progressive Alliance (UPA) has given to itself, and to the people of this country, a Common Minimum Programme. The Government has since adopted it as the National Common Minimum Programme (NCMP). The programme spells out seven clear economic objectives:",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,(1) maintaining a growth rate of 7 - 8 per cent per year for a sustained period;,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,(2) providing universal access to quality basic education and health;,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,"(3) generating gainful employment in agriculture, manufacturing and services, and promoting investment;",,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,(4) assuring 100 days’ employment to the breadwinner in each family at the minimum wage;,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,(5) focusing on agriculture and infrastructure;,,,,,
2004-05,P. Chidambaram,,,,,,
2004-05,P. Chidambaram,(6) accelerating fiscal consolidation and reform; and,,,,,
2004-05,P. Chidambaram,,,,,,
